2017-02-04 20:48:16  
2017-02-04 20:48:16 ***************************************************************
2017-02-04 20:48:16                  ---- LaserWeb Comm Server ----                
2017-02-04 20:48:16 ***************************************************************
2017-02-04 20:48:16   Use  http://192.168.14.100:8000 to connect this server.
2017-02-04 20:48:16  
2017-02-04 20:48:16 * Updates: 
2017-02-04 20:48:16   Remember to check the commit log on
2017-02-04 20:48:16   https://github.com/LaserWeb/lw.comm-server/commits/master
2017-02-04 20:48:16   regularly, to know about updates and fixes, and then when ready
2017-02-04 20:48:16   update accordingly by running git pull
2017-02-04 20:48:16  
2017-02-04 20:48:16 * Support: 
2017-02-04 20:48:16   If you need help / support, come over to 
2017-02-04 20:48:16   https://plus.google.com/communities/115879488566665599508
2017-02-04 20:48:16 ***************************************************************
2017-02-04 20:48:16  
2017-02-04 20:48:22 App connected!
2017-02-04 20:48:23 INFO: Connecting to USB,COM4,115200
2017-02-04 20:48:23 INFO: Connected to COM4 at 115200
2017-02-04 20:48:23 Smoothieware detected (edge-d792543, Thu Dec 15 2016)
2017-02-04 20:49:36 Run Job (3739845)
2017-02-04 20:50:19 Done: 48159 of 236483 (ave. 1147 lines/s)
2017-02-04 20:50:19 Done: 48660 of 236483 (ave. 1159 lines/s)
2017-02-04 20:50:20 Done: 49161 of 236483 (ave. 1143 lines/s)
2017-02-04 20:50:20 Done: 49663 of 236483 (ave. 1155 lines/s)
2017-02-04 20:50:21 Done: 50164 of 236483 (ave. 1140 lines/s)
2017-02-04 20:50:21 Done: 50664 of 236483 (ave. 1151 lines/s)
2017-02-04 20:50:21 Done: 51165 of 236483 (ave. 1137 lines/s)
2017-02-04 20:50:22 Done: 51666 of 236483 (ave. 1148 lines/s)
2017-02-04 20:50:22 Done: 52169 of 236483 (ave. 1159 lines/s)
2017-02-04 20:50:23 Done: 52671 of 236483 (ave. 1145 lines/s)
2017-02-04 20:50:23 Done: 53171 of 236483 (ave. 1156 lines/s)
2017-02-04 20:50:24 Done: 53673 of 236483 (ave. 1142 lines/s)
2017-02-04 20:50:24 Done: 54176 of 236483 (ave. 1153 lines/s)
2017-02-04 20:50:25 Done: 54676 of 236483 (ave. 1139 lines/s)
2017-02-04 20:50:25 Done: 55179 of 236483 (ave. 1150 lines/s)
2017-02-04 20:50:25 Done: 55680 of 236483 (ave. 1160 lines/s)
2017-02-04 20:50:26 Done: 56181 of 236483 (ave. 1147 lines/s)
2017-02-04 20:50:26 Done: 56681 of 236483 (ave. 1157 lines/s)
2017-02-04 20:50:27 Done: 57182 of 236483 (ave. 1144 lines/s)
2017-02-04 20:50:27 Done: 57685 of 236483 (ave. 1154 lines/s)
2017-02-04 20:50:28 Done: 58187 of 236483 (ave. 1141 lines/s)
2017-02-04 20:50:28 Done: 58691 of 236483 (ave. 1151 lines/s)
2017-02-04 20:50:28 Done: 59194 of 236483 (ave. 1138 lines/s)
2017-02-04 20:50:29 Done: 59695 of 236483 (ave. 1148 lines/s)
2017-02-04 20:50:29 Done: 60197 of 236483 (ave. 1158 lines/s)
2017-02-04 20:50:30 Done: 60698 of 236483 (ave. 1145 lines/s)
2017-02-04 20:50:30 Done: 61200 of 236483 (ave. 1155 lines/s)
2017-02-04 20:50:31 Done: 61701 of 236483 (ave. 1143 lines/s)
2017-02-04 20:50:31 Done: 62204 of 236483 (ave. 1152 lines/s)
2017-02-04 20:50:31 Done: 62705 of 236483 (ave. 1140 lines/s)
2017-02-04 20:50:32 Done: 63206 of 236483 (ave. 1149 lines/s)
2017-02-04 20:50:32 Done: 63707 of 236483 (ave. 1138 lines/s)
2017-02-04 20:50:33 Done: 64208 of 236483 (ave. 1147 lines/s)
2017-02-04 20:50:33 Done: 64710 of 236483 (ave. 1156 lines/s)
2017-02-04 20:50:34 Done: 65212 of 236483 (ave. 1144 lines/s)
2017-02-04 20:50:34 Done: 65714 of 236483 (ave. 1153 lines/s)
2017-02-04 20:50:35 Done: 66216 of 236483 (ave. 1142 lines/s)
2017-02-04 20:50:35 Done: 66720 of 236483 (ave. 1150 lines/s)
2017-02-04 20:50:35 Done: 67221 of 236483 (ave. 1139 lines/s)
2017-02-04 20:50:36 Done: 67723 of 236483 (ave. 1148 lines/s)
2017-02-04 20:50:36 Done: 68224 of 236483 (ave. 1156 lines/s)
2017-02-04 20:50:37 Done: 68725 of 236483 (ave. 1145 lines/s)
2017-02-04 20:50:37 Done: 69227 of 236483 (ave. 1154 lines/s)
2017-02-04 20:50:38 Done: 69728 of 236483 (ave. 1143 lines/s)
2017-02-04 20:50:38 Done: 70231 of 236483 (ave. 1151 lines/s)
2017-02-04 20:50:39 Done: 70732 of 236483 (ave. 1141 lines/s)
2017-02-04 20:50:39 Done: 71236 of 236483 (ave. 1149 lines/s)
2017-02-04 20:50:39 Done: 71738 of 236483 (ave. 1139 lines/s)
2017-02-04 20:50:40 Done: 72240 of 236483 (ave. 1147 lines/s)
2017-02-04 20:50:40 Done: 72742 of 236483 (ave. 1155 lines/s)
2017-02-04 20:50:41 Done: 73244 of 236483 (ave. 1144 lines/s)
2017-02-04 20:50:41 Done: 73746 of 236483 (ave. 1152 lines/s)
2017-02-04 20:50:42 Done: 74247 of 236483 (ave. 1142 lines/s)
2017-02-04 20:50:42 Done: 74750 of 236483 (ave. 1150 lines/s)
2017-02-04 20:50:43 Done: 75251 of 236483 (ave. 1140 lines/s)
2017-02-04 20:50:43 Done: 75755 of 236483 (ave. 1148 lines/s)
2017-02-04 20:50:43 Done: 76257 of 236483 (ave. 1138 lines/s)
2017-02-04 20:50:44 Done: 76758 of 236483 (ave. 1146 lines/s)
2017-02-04 20:50:44 Done: 77261 of 236483 (ave. 1153 lines/s)
2017-02-04 20:50:45 Done: 77763 of 236483 (ave. 1144 lines/s)
2017-02-04 20:50:45 Done: 78264 of 236483 (ave. 1151 lines/s)
2017-02-04 20:50:46 Done: 78765 of 236483 (ave. 1142 lines/s)
2017-02-04 20:50:46 Done: 79268 of 236483 (ave. 1149 lines/s)
2017-02-04 20:50:46 Done: 79768 of 236483 (ave. 1140 lines/s)
2017-02-04 20:50:47 Done: 80269 of 236483 (ave. 1147 lines/s)
2017-02-04 20:50:47 Done: 80772 of 236483 (ave. 1154 lines/s)
2017-02-04 20:50:48 Done: 81273 of 236483 (ave. 1145 lines/s)
2017-02-04 20:50:48 Done: 81775 of 236483 (ave. 1152 lines/s)
2017-02-04 20:50:49 Done: 82277 of 236483 (ave. 1143 lines/s)
2017-02-04 20:50:49 Done: 82778 of 236483 (ave. 1150 lines/s)
2017-02-04 20:50:50 Done: 83279 of 236483 (ave. 1141 lines/s)
2017-02-04 20:50:50 Done: 83780 of 236483 (ave. 1148 lines/s)
2017-02-04 20:50:50 Done: 84281 of 236483 (ave. 1139 lines/s)
2017-02-04 20:50:51 Done: 84782 of 236483 (ave. 1146 lines/s)
2017-02-04 20:50:51 Done: 85283 of 236483 (ave. 1152 lines/s)
2017-02-04 20:50:52 Done: 85784 of 236483 (ave. 1144 lines/s)
2017-02-04 20:50:52 Done: 86287 of 236483 (ave. 1150 lines/s)
2017-02-04 20:50:53 Done: 86788 of 236483 (ave. 1142 lines/s)
2017-02-04 20:50:53 Done: 87291 of 236483 (ave. 1149 lines/s)
2017-02-04 20:50:53 Done: 87792 of 236483 (ave. 1140 lines/s)
2017-02-04 20:50:54 Done: 88293 of 236483 (ave. 1147 lines/s)
2017-02-04 20:50:54 Done: 88794 of 236483 (ave. 1153 lines/s)
2017-02-04 20:50:55 Done: 89295 of 236483 (ave. 1145 lines/s)
2017-02-04 20:50:55 Done: 89796 of 236483 (ave. 1151 lines/s)
2017-02-04 20:50:56 Done: 90297 of 236483 (ave. 1143 lines/s)
